Loc,Rep,Trt,Plot,TRT_COMBO,Avg Droplet Coverage(%),BAREGROUND,ACMI2,ACNE9,ACTH7,AGGL,ALAC4,ALDE,AMRE2,AMSIN,ANDI2,ANLU2,ARCU,ARLU,ARTRV,ASPU9,ASTRA,BASA3,BORAG,BRTE,CADO2,CALOC,CHDO,CHJU,CHVI8,CIUN,COLI2,COPA3,CRAC2,CRAT,CROC,DELPH,ELEL5,EPBR3,ERAP,ERCA8,ERCI6,ERHE2,ERMI4,ERNA10,EROV,ERPU2,ERUM,FRAT,HEUN,HYCA4,IVAX,JUNCU,JUNCU2,LASE,LECI4,LERE7,LILEL2,LILIU,LIRU4,LOCO4,LOGR,LONU2,LOTR,LUAR6,LUCA,LUPIN,LUPIN2,LUSE4,MAGR3,MEAL6,MEBU,MINU,NEST5,PHHA,PHHE2,PHLO2,POBU,POSE,PSSP6,PUTR2,SEIN2,SIAL2,TRDU,TRIFO,VINU2,ZIPA2
H7,4,7,807,HEL_INDAZ_IMAZ_3,13.319,18,0,0,0,18,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5,38,5,0,0,0,5,0,5,0
H4,1,8,504,HEL_INDAZ_4,19.761,5,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,18,0,18,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,5,0,0,0
H4,2,8,604,HEL_INDAZ_4,19.761,5,5,0,0,18,0,0,0,0,0,0,0,0,5,0,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,38,0,0,0,0,0,0,0,0
H4,3,8,704,HEL_INDAZ_3,15.675,5,0,0,5,38,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0
H4,4,8,804,HEL_INDAZ_3,15.675,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,38,5,0,0,0,0,0,5,0,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,18,0,18,18,0,0,0,5,0,5,0
H8,1,9,508,HEL_INDAZ_IMAZ_4,20.984,38,0,5,5,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,38,0,0,0,0,18,0,0,0,0,0,0,0,0
H8,2,9,608,HEL_INDAZ_IMAZ_4,20.984,18,0,0,38,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,5,0,0,0,0,5,0,0,5,0,18,0,0,0,0,0,0,5,0
H8,3,9,708,HEL_INDAZ_IMAZ_3,15.97,38,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,38,0,0,0,0,0,0,0,0
H8,4,9,808,HEL_INDAZ_IMAZ_3,15.97,38,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,5,0,18,0,0,0,0,0,0,5,0
A1,1,10,101,AIR_INDAZ_1,2.422,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,18,0,0,0,38,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,38,0,0,5,0,0,0,0,0
