Rep,Trt,Plot,TRT_COMBO,BGROUND,CAEX14,ERCI6,LAOC3,LASE,MADIA,MADIA2,NABR,SIAL2,TRDU,UnkCrepis,UnkThistle,BRJA,BRTE,ACMI2,AGGL,ALLIUM,AMSIN,ANLU2,ARSO2,ASTRA,BASA3,CHDO,CHJU,CIAR4,CIUN,CRAC2,CROC,ERBL,ERHE2,ERLA,EROV,ERPU2,ERTH4,ERUM,GERAN,IVAX,LIRU4,LONU2,LOTR,LUPIN,LUPIN2,LUPIN3,MACA2,PHHA,PHLO2,SEIN2,ZIPA2,ACNE9,ACTH7,CADO2,DAUN,ELEL5,LECI4,MEBU,POBU,POSE,PSSP6,UnkPoa,ARAR8,ARTRV,CHVI8,ERNA10,PUTR2,TETRA3,UnkSage,UNK1,UNK5
4,9,808,HEL_INDAZ_IMAZ_3,38,0,0,0,0,0,0,0,0,0,18,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,0,5,0,0,0,0,0,0,0,5,0
1,10,101,AIR_INDAZ_1,5,0,0,0,0,0,0,0,0,0,0,0,18,0,5,0,0,0,38,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,18,0,83,0,5,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0
2,10,201,AIR_INDAZ_1,5,0,0,0,0,0,0,0,0,0,0,0,38,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,38,0,5,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,63,0,0,18,5,0,0,0,0,0,0,0
3,10,301,AIR_INDAZ_1,5,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,18,0,5,0,0,0,0,5,5,0,0,0,0,0,5,0,0,0,38,0,0,18,18,0,0,0,0,0,0,0
4,10,401,AIR_INDAZ_1,5,5,0,0,0,0,0,5,0,5,0,0,18,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,5,0,5,0,18,0,0,0,83,0,0,0,0,0,0,5
1,11,102,AIR_INDAZ_1,63,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,0,0,0,0,5,5,0,0,5,0,0,0,38,0,0,0,0,0,0,0,0,0,5,5,0,5,0,5,5,0,0,0,18,0,0,5,0,0,0,18,18,0,0,5,18,0,0,0,0,0,0
2,11,202,AIR_INDAZ_1,38,0,0,0,0,5,0,0,0,5,5,0,38,18,0,0,0,0,0,0,18,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,5,0,5,0,0,18,0,0,0,0,0,0,0,0,0,0,18,5,0,0,0,5,0,0,0,5,5,0
3,11,302,AIR_INDAZ_1,63,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,5,5,0,0,0,5,0,0,5,0,0,0,18,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,18,0,0,5,0,0,0,38,5,0,0,18,5,0,0,0,0,0,0
4,11,402,AIR_INDAZ_1,38,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,38,0,0,0,0,0,5,5,0,0,0,0,5,0,0,0,5,0,0,5,0,0,0,38,5,0,0,5,5,0,18,0,0,0,0
1,12,103,AIR_INDAZ_1,18,0,0,0,0,0,0,5,0,5,0,0,18,18,0,18,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,18,0,0,5,5,0,0,0,0,0,0,38,5,0,0,38,0,0,0,5,0,0,0
