PLOTID,TRANSECT,ACMI2,ACNE9,ACTH7,AGGL,AGGR,ALAC4,AMMEM2,AMRE2,AMSIN,ANLU2,ARAR8,ARLU,ARTRV,ASTRA,BASA3,BRJA,BRTE,CADO2,CAEU,CASTI2,CHDO,CHVI8,CIUN,COLI2,COPA3,CORA5,CRAC2,CRAT,CROC,DF,DG,DS,ELEL5,EQLA,ERAP,ERCA8,ERHE2,ERNA10,EROV,ERPU2,ERUM,ERWR,FEID,GARA2,HEUN,HYCA4,IPAGA3,IRIS,IVAX,KOMA,L,LASE,LECI4,LERE7,LILO,LIRU4,LOCO4,LODI,LONU2,LOTR,LUAR6,LUCA,LUPIN,LUSE4,MADIA,MAGR2,MEAL6,MEBU,MINU,N,NEST5,PEHU,PENST,PHHE2,PHLO2,POBU,POSE,PSSP6,PUTR2,SEIN2,TECA2,TRDU,UNK100,VIPUV2,WL,ZIPA2
203C,15,0,0,5,0,0,0,0,0,0,0,0,0,18,0,0,2,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,56,5,0,0,0,0,0,0,0,12,0,0,0,0,5,0,6,10,0,0,0,0,0,0,0,0
203C,28,1,0,4,1,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,0,0,13,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,58,1,0,0,0,0,0,0,0,6,0,0,1,0,3,0,12,15,0,0,5,0,0,0,1,0
203T,2,0,0,13,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,2,15,0,0,0,0,2,0,1,0,0,16,0,1,0,14,6,0,0,1,0,0,2,2,0
203T,15,0,1,6,0,0,0,0,0,0,1,0,0,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,58,6,4,0,0,0,0,0,0,3,0,0,0,0,0,0,14,3,0,0,2,0,0,0,4,0
203T,28,0,6,4,1,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,5,0,0,0,0,0,0,9,0,0,0,0,2,0,16,1,0,0,1,0,0,0,1,0
204C,2,0,0,2,0,0,1,0,0,0,0,0,0,35,0,0,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,50,0,4,0,0,0,0,0,0,14,0,0,0,0,1,0,7,3,1,0,1,0,0,0,0,0
204C,15,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,46,0,3,0,0,0,0,0,0,15,0,0,0,0,5,0,9,1,2,0,2,0,0,0,0,0
204C,28,0,0,0,0,0,0,0,0,1,0,0,0,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,41,0,2,0,0,0,0,0,0,20,1,0,0,0,2,0,15,2,0,0,1,0,0,0,2,0
204T,2,0,0,4,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,5,0,0,0,0,0,0,13,0,0,0,0,1,0,17,10,0,0,0,0,0,0,6,0
204T,15,0,0,1,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,8,0,0,0,0,1,0,6,0,0,0,0,1,0,30,15,0,0,3,0,0,0,1,0
204T,28,0,0,2,1,0,0,0,0,0,0,0,0,25,0,1,1,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,60,0,4,0,0,0,0,0,0,3,0,0,0,0,5,0,22,12,0,0,4,0,0,0,1,0
301C,2,0,0,0,1,0,1,0,0,0,0,6,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,29,1,0,0,0,4,1,9,3,0,0,0,1,0,0,0,0
301C,15,0,0,0,0,0,0,0,0,0,0,3,0,13,2,0,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,1,0,15,0,0,0,0,3,0,16,10,3,0,0,0,0,0,0,0
301C,28,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,20,2,0,0,0,4,0,17,1,1,0,1,0,0,0,0,0
301T,2,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,1,0,0,0,28,0,0,0,0,1,0,15,0,3,0,0,0,0,0,0,0
301T,15,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,5,0,0,0,0,0,0,0,29,0,0,0,0,2,0,16,3,4,2,0,0,0,0,0,0
301T,28,0,0,6,0,0,0,0,0,0,0,0,0,14,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,1,0,0,0,0,14,0,0,0,0,0,0,22,4,3,0,0,0,0,0,0,0
302C,2,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,6,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,38,0,0,0,0,0,0,0,0,20,1,0,0,0,3,0,23,0,0,0,0,0,0,0,0,0
302C,15,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,1,0,39,0,0,0,0,0,0,0,0,13,3,0,0,0,4,0,16,0,0,0,0,0,0,0,2,0
302C,28,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,42,0,0,0,0,0,0,0,0,21,7,0,0,0,0,0,11,0,0,0,0,0,0,0,4,0
