DATE,ROUTE,PLOT_NUM,P_LOCATION,CL_UNCL,T_LOCATION,GRADE_CAT,GRADE,STARS,ROUTE_TYPE,TOT_HEIGHT,ASPECT_ORD,ASPECT_DEG,ASPECT_NORTH,ASPECT_EAST,SLOPE,HEIGHT_DOWN,TAXA,Functional,Species,Abundance
28-May-19,BLOCK ROUTE,2T,TOP,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,NA,NA,L,LOBE,TNYBRNCH,9
28-May-19,BLOCK ROUTE,2T,TOP,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,NA,NA,L,LOBE,GRNSQB,7
28-May-19,BLOCK ROUTE,2T,TOP,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,NA,NA,M,,Wei_controversa,2
16-Jul-19,BONGO FURY,1,FACE,CLIMBED,HB,ADVANCED,5.12-,2.5,S,15,N,310,0.64,-0.77,100,2,L,CRUST,BLGRDOT,9
16-Jul-19,BONGO FURY,1,FACE,UNCLIMBED,HB,ADVANCED,5.12-,2.5,S,15,N,310,0.64,-0.77,100,2,L,CRUST,BLGRDOT,8
16-Jul-19,BONGO FURY,1,FACE,CLIMBED,HB,ADVANCED,5.12-,2.5,S,15,N,310,0.64,-0.77,100,2,L,CRUST,BRBLKCRST,5
16-Jul-19,BONGO FURY,1,FACE,CLIMBED,HB,ADVANCED,5.12-,2.5,S,15,N,310,0.64,-0.77,100,2,L,CRUST,BRBLKBDR,3
16-Jul-19,BONGO FURY,1,FACE,UNCLIMBED,HB,ADVANCED,5.12-,2.5,S,15,N,310,0.64,-0.77,100,2,L,CRUST,BRBLKCRST,3
16-Jul-19,BONGO FURY,1,FACE,UNCLIMBED,HB,ADVANCED,5.12-,2.5,S,15,N,310,0.64,-0.77,100,2,L,CRUST,TANBUB,2
16-Jul-19,BONGO FURY,1,FACE,UNCLIMBED,HB,ADVANCED,5.12-,2.5,S,15,N,310,0.64,-0.77,100,2,L,CRUST,BRBLKBDR,1
16-Jul-19,BONGO FURY,1,FACE,CLIMBED,HB,ADVANCED,5.12-,2.5,S,15,N,310,0.64,-0.77,100,2,L,FRUIT,CLADSQ,2
16-Jul-19,BONGO FURY,1,FACE,UNCLIMBED,HB,ADVANCED,5.12-,2.5,S,15,N,310,0.64,-0.77,100,2,L,FRUIT,CLADSQ,1
16-Jul-19,BONGO FURY,1,FACE,CLIMBED,HB,ADVANCED,5.12-,2.5,S,15,N,310,0.64,-0.77,100,2,L,FRUIT,CLADSTLK,1
16-Jul-19,BONGO FURY,1,FACE,UNCLIMBED,HB,ADVANCED,5.12-,2.5,S,15,N,310,0.64,-0.77,100,2,L,FRUIT,CLADSTLK,1
16-Jul-19,BONGO FURY,1,FACE,CLIMBED,HB,ADVANCED,5.12-,2.5,S,15,N,310,0.64,-0.77,100,2,L,LOBE,TNYBRNCH,2
16-Jul-19,BONGO FURY,1,FACE,UNCLIMBED,HB,ADVANCED,5.12-,2.5,S,15,N,310,0.64,-0.77,100,2,L,POWDER,WHPDR,9
16-Jul-19,BONGO FURY,1,FACE,CLIMBED,HB,ADVANCED,5.12-,2.5,S,15,N,310,0.64,-0.77,100,2,L,POWDER,WHPDR,2
16-Jul-19,BONGO FURY,1,FACE,CLIMBED,HB,ADVANCED,5.12-,2.5,S,15,N,310,0.64,-0.77,100,2,L,UMB,TOADSK,9
16-Jul-19,BONGO FURY,1,FACE,UNCLIMBED,HB,ADVANCED,5.12-,2.5,S,15,N,310,0.64,-0.77,100,2,L,UMB,TOADSK,9
